=== RUN   TestScrollDiag
pitch=112 region={X1:0.03 Y1:0.42 X2:0.97 Y2:0.89}
pair       probe         d     peak    decoy   margin   decoy offsets from peak
0->1       0           339   0.8529   0.7969   0.0560   +112(+1.00 rows)@0.797 -224(-2.00 rows)@0.779 +111(+0.99 rows)@0.773
0->1       1           339   0.8957   0.8610   0.0347   -112(-1.00 rows)@0.861 -336(-3.00 rows)@0.847 -113(-1.01 rows)@0.840
0->1       2           339   0.8562   0.8080   0.0482   -112(-1.00 rows)@0.808 -113(-1.01 rows)@0.785 -224(-2.00 rows)@0.717
0->1       COMB        339   0.8683   0.7708   0.0975   -336(-3.00 rows)@0.771 -337(-3.01 rows)@0.753 -112(-1.00 rows)@0.744
1->2       0           359   0.8774   0.8220   0.0554   -224(-2.00 rows)@0.822 -336(-3.00 rows)@0.818 -112(-1.00 rows)@0.799
1->2       1           359   0.8660   0.8017   0.0643   -112(-1.00 rows)@0.802 -336(-3.00 rows)@0.793 +112(+1.00 rows)@0.773
1->2       2           359   0.9116   0.8602   0.0514   -224(-2.00 rows)@0.860 -112(-1.00 rows)@0.849 -336(-3.00 rows)@0.826
1->2       COMB        359   0.8850   0.8167   0.0683   -112(-1.00 rows)@0.817 -336(-3.00 rows)@0.812 -224(-2.00 rows)@0.810
2->3       0           326   0.8449   0.7709   0.0740   -224(-2.00 rows)@0.771 +112(+1.00 rows)@0.770 -112(-1.00 rows)@0.763
2->3       1           326   0.8322   0.7601   0.0721   -224(-2.00 rows)@0.760 -223(-1.99 rows)@0.759 -112(-1.00 rows)@0.755
2->3       2           326   0.8810   0.8029   0.0781   -224(-2.00 rows)@0.803 -112(-1.00 rows)@0.801 -223(-1.99 rows)@0.801
2->3       COMB        326   0.8527   0.7780   0.0747   -224(-2.00 rows)@0.778 -223(-1.99 rows)@0.773 -112(-1.00 rows)@0.773
3->4       0           330   0.8292   0.7749   0.0542   -224(-2.00 rows)@0.775 -225(-2.01 rows)@0.774 +224(+2.00 rows)@0.769
3->4       1           329   0.8447   0.7983   0.0464   -224(-2.00 rows)@0.798 -223(-1.99 rows)@0.793 +112(+1.00 rows)@0.776
3->4       2           329   0.8638   0.8266   0.0372   -224(-2.00 rows)@0.827 -223(-1.99 rows)@0.817 -112(-1.00 rows)@0.781
3->4       COMB        329   0.8455   0.7997   0.0458   -224(-2.00 rows)@0.800 -223(-1.99 rows)@0.795 -112(-1.00 rows)@0.757
4->5       0           346   0.8017   0.6717   0.1300   +224(+2.00 rows)@0.672 +112(+1.00 rows)@0.646 -336(-3.00 rows)@0.646
4->5       1           346   0.8635   0.7745   0.0890   -224(-2.00 rows)@0.775 +112(+1.00 rows)@0.740 -225(-2.01 rows)@0.727
4->5       2           346   0.9185   0.8208   0.0977   -112(-1.00 rows)@0.821 -336(-3.00 rows)@0.791 -113(-1.01 rows)@0.750
4->5       COMB        346   0.8612   0.7201   0.1411   -336(-3.00 rows)@0.720 -224(-2.00 rows)@0.712 -337(-3.01 rows)@0.670
5->6       0           333   0.8424   0.7511   0.0913   -224(-2.00 rows)@0.751 -112(-1.00 rows)@0.743 +112(+1.00 rows)@0.715
5->6       1           333   0.8472   0.7081   0.1390   +112(+1.00 rows)@0.708 -224(-2.00 rows)@0.689 -112(-1.00 rows)@0.677
5->6       2           333   0.9253   0.8115   0.1138   -224(-2.00 rows)@0.812 -112(-1.00 rows)@0.807 -223(-1.99 rows)@0.747
5->6       COMB        333   0.8716   0.7507   0.1210   -224(-2.00 rows)@0.751 -112(-1.00 rows)@0.742 -223(-1.99 rows)@0.686
6->7       0           340   0.8095   0.7399   0.0696   -336(-3.00 rows)@0.740 -337(-3.01 rows)@0.736 +224(+2.00 rows)@0.727
6->7       1           340   0.8001   0.7003   0.0998   -224(-2.00 rows)@0.700 +112(+1.00 rows)@0.699 +111(+0.99 rows)@0.687
6->7       2           340   0.8963   0.8342   0.0621   -224(-2.00 rows)@0.834 -225(-2.01 rows)@0.817 -112(-1.00 rows)@0.801
6->7       COMB        340   0.8353   0.7499   0.0854   -224(-2.00 rows)@0.750 -225(-2.01 rows)@0.737 -336(-3.00 rows)@0.716
7->8       0           337   0.8160   0.7676   0.0484   -112(-1.00 rows)@0.768 -111(-0.99 rows)@0.767 +225(+2.01 rows)@0.739
7->8       1           337   0.7993   0.6927   0.1066   +112(+1.00 rows)@0.693 +113(+1.01 rows)@0.691 -112(-1.00 rows)@0.676
7->8       2           337   0.9015   0.8207   0.0809   -112(-1.00 rows)@0.821 -224(-2.00 rows)@0.811 -111(-0.99 rows)@0.802
7->8       COMB        337   0.8389   0.7546   0.0843   -112(-1.00 rows)@0.755 -111(-0.99 rows)@0.746 -224(-2.00 rows)@0.715
--- PASS: TestScrollDiag (298.25s)
PASS
ok  	github.com/tomharris/lw-manager/internal/vision	298.255s
